            Frequency	    DB(V(VO)/V(V1:+))
                    1	-3.01009226729699e-006
     1.00925288607668	-3.49400012554429e-006
     1.01859138805412	-3.14315607076786e-006
     1.02801629812647	-3.61413588026091e-006
     1.03752841581801	-3.25012229442489e-006
      1.0471285480509	-3.7076939656694e-006
     1.05681750921366	-3.33001941751061e-006
     1.06659612123026	-3.7736731009451e-006
     1.07646521362984	-4.2101758342073e-006
     1.08642562361707	-3.81104640740558e-006
     1.09647819614319	-4.23284206916931e-006
     1.10662378397767	 -3.818731616597e-006
     1.11686324778056	-4.22527131762282e-006
     1.12719745617551	-4.62397118813088e-006
     1.13762728582343	-4.18633149433558e-006
     1.14815362149688	-4.56890504809154e-006
     1.15877735615513	-4.11484202994813e-006
     1.16949939101987	-4.48068643637747e-006
     1.18032063565173	-4.83793260982494e-006
     1.19124200802738	-4.35807247799119e-006
     1.20226443461741	-4.69763820188106e-006
     1.21338885046498	-5.02811641935619e-006
     1.22461619926505	-5.34934007593641e-006
     1.23594743344451	-4.83278653129455e-006
     1.24738351424295	-5.13497666825294e-006
     1.25892541179417	-5.4273862793211e-006
     1.27057410520854	-5.70983293674283e-006
     1.28233058265602	-5.15378262912806e-006
     1.29419584144999	-5.41573987419305e-006
     1.30617088813184	-5.66716881383391e-006
     1.31825673855641	-5.90787048695812e-006
     1.33045441797809	-6.13765153234394e-006
     1.34276496113787	-6.3563021122787e-006
     1.35518941235104	-6.56361337557862e-006
     1.36772882559585	-5.93103389246549e-006
     1.38038426460289	-6.11504477892155e-006
     1.39315680294531	-6.28707403454355e-006
     1.40604752412992	-6.44689894991885e-006
      1.4190575216891	-6.59429794586191e-006
     1.43218789927355	-6.72904117314607e-006
     1.44543977074593	-6.85088541699585e-006
     1.45881426027535	-6.95959310207041e-006
     1.47231250243272	-7.05492284397933e-006
     1.48593564228701	-7.13662443767207e-006
     1.49968483550238	-7.20444358843589e-006
     1.51356124843621	-8.08647963745631e-006
     1.52756605823808	-8.12575950137549e-006
     1.54170045294957	-8.15036388168159e-006
     1.55596563160508	-8.16003702775792e-006
     1.57036280433356	-8.15447741432357e-006
     1.58489319246112	-8.13342049238455e-006
     1.59955802861468	-8.92492370917948e-006
     1.61435855682649	-8.87198706453526e-006
     1.62929603263973	-8.80268002585891e-006
     1.64437172321494	-8.71666568804587e-006
     1.65958690743757	-9.44201453076811e-006
     1.67494287602645	-9.32169624352845e-006
     1.69044093164327	-9.18373836772896e-006
     1.70608238900313	-9.85616298368535e-006
     1.72186857498602	-9.68194662485308e-006
     1.73780082874938	-1.0317424376662e-005
     1.75388050184177	-1.01055852609256e-005
     1.77010895831743	-1.07027528862701e-005
     1.78648757485206	-1.04518703206138e-005
     1.80301774085958	-1.10092724788787e-005
     1.81970085860999	-1.07178910419048e-005
     1.83653834334836	-1.12340366175794e-005
     1.85353162341482	-1.17289748743749e-005
     1.87068214036581	-1.13739779929542e-005
      1.8879913490963	-1.18253248320447e-005
     1.90546071796326	-1.22542493829706e-005
     1.92309172891017	-1.2660363148059e-005
     1.94088587759279	-1.22148745004917e-005
       1.958844673506	-1.25740600799483e-005
     1.97696964011187	-1.29091137620272e-005
     1.99526231496889	-1.32195938108877e-005
      2.0137242498624	-1.35050514695532e-005
     2.03235701093623	-1.37650172905585e-005
     2.05116217882558	-1.39990141148649e-005
     2.07014134879106	-1.4206556980262e-005
     2.08929613085405	-1.43871669730033e-005
      2.1086281499333	-1.45403294945528e-005
     2.12813904598273	-1.54938799513103e-005
     2.14783047413055	-1.55906264684441e-005
     2.16770410481971	-1.56583594413984e-005
     2.18776162394957	-1.56965590613348e-005
     2.20800473301892	 -1.653301188926e-005
     2.22843514927032	-1.65104633822369e-005
      2.2490546058358	-1.72850554232393e-005
