                 Time	                W(D1)
                    0	                    0
               1e-005	1.57385304788704e-008
1.17396926879883e-005	2.22639595648388e-008
1.52190780639648e-005	3.64585268641804e-008
 2.2177848815918e-005	9.01323602420234e-008
3.60953903198242e-005	5.91358627843874e-007
5.17325973510742e-005	4.44664101451053e-006
6.91245651245117e-005	2.15317686524941e-005
9.19120407104492e-005	6.75843257340603e-005
 0.000137486991882324	 0.000203700677957386
 0.000194243583679199	 0.000406630832003429
 0.000297917900085449	 0.000814510160125792
 0.000505266532897949	  0.00168933323584497
 0.000919963798522949	  0.00350748794153333
  0.00174935832977295	  0.00698436796665192
  0.00274935832977295	   0.0102575551718473
  0.00374935832977295	   0.0119685977697372
  0.00474935832977295	   0.0118094617500901
  0.00574935832977295	  0.00981434248387814
  0.00674935832977295	  0.00633341027423739
  0.00774935832977295	  0.00203410256654024
  0.00847924114227295	2.05688611458754e-005
  0.00891210247039795	-3.57293902197853e-005
  0.00902889934539795	2.82996637679389e-007
  0.00913663860321045	3.20981627055517e-007
  0.00935211711883545	3.63912249667919e-007
  0.00978307415008545	4.32851095411024e-007
   0.0106449882125854	4.69675853764784e-007
   0.0116449882125854	4.00046445747648e-007
   0.0126449882125854	2.14089226346914e-007
   0.0136449882125854	2.71761706471807e-008
   0.0146449882125855	-1.32934076191304e-007
   0.0156449882125855	-1.6998356500153e-007
   0.0166449882125855	-1.10512035078614e-008
   0.0174659843063355	  0.00297821057029068
   0.0182316093063355	  0.00625186739489436
   0.0192316093063355	   0.0097571462392807
   0.0202316093063355	   0.0117909805849195
   0.0212316093063355	   0.0119816577062011
   0.0222316093063355	   0.0103086596354842
   0.0232316093063355	  0.00706108100712299
   0.0242316093063355	  0.00284322630614042
   0.0252316093063355	2.24686900764937e-005
   0.0256518241500855	-3.15852485073265e-005
   0.0257737113571167	3.04746492929553e-007
   0.0258872855758667	3.39683424499526e-007
   0.0261144340133667	3.81685566708256e-007
   0.0265687308883667	4.45782490032798e-007
   0.0274773246383667	4.65570280994143e-007
   0.0284773246383667	3.75594737533902e-007
   0.0294773246383667	 1.8141471969102e-007
   0.0304773246383667	-3.47494300001472e-009
   0.0314773246383667	-1.4829791439297e-007
   0.0324773246383667	-1.63505063710545e-007
   0.0333019340133667	-1.44690712744477e-008
   0.0339731254196167	  0.00227469648234546
   0.0346200004196167	  0.00509587815031409
   0.0356049613571167	  0.00885871704667807
   0.0366049613571167	   0.0113803865388036
   0.0376049613571167	   0.0121234152466059
   0.0386049613571167	   0.0109820775687695
   0.0396049613571167	  0.00814700312912464
   0.0406049613571167	  0.00413018744438887
   0.0416049613571167	1.12935845208995e-006
   0.0420751762008667	-2.8444066629163e-005
   0.0422070365524292	-1.51018014094007e-007
   0.0423048514938355	2.78572684919709e-007
    0.042430754814148	 3.0962416985858e-007
    0.042682561454773	3.62170311518639e-007
    0.043186174736023	4.41261647665669e-007
    0.044186174736023	4.61268058415953e-007
    0.045186174736023	3.72131211179294e-007
    0.046186174736023	 1.6981068995392e-007
    0.047186174736023	-8.1885787039937e-009
    0.048186174736023	-1.53770301380973e-007
    0.049186174736023	-1.60068182708528e-007
                 0.05	-1.0301023922743e-011


