                   RD	              I(J1:d)
                  100	   0.0132077392190695
     102.329299228075	   0.0132061708718538
      104.71285480509	   0.0132045662030578
     107.151930523761	   0.0132029242813587
     109.647819614318	   0.0132012441754341
     112.201845430196	   0.0131995240226388
     114.815362149688	   0.0131977647542953
     117.489755493953	   0.0131959645077586
     120.226443461741	    0.013194122351706
     123.026877081238	   0.0131922364234924
     125.892541179417	   0.0131903076544404
     128.824955169313	   0.0131883332505822
     131.825673855641	   0.0131863132119179
     134.896288259165	   0.0131842456758022
     138.038426460288	   0.0131821306422353
     141.253754462275	   0.0131799662485719
     144.543977074593	   0.0131777506321669
     147.910838816821	   0.0131754837930202
     151.356124843621	   0.0131731647998095
     154.881661891248	   0.0131707908585668
     158.489319246111	   0.0131683619692922
     162.181009735893	   0.0131658772006631
     165.958690743756	   0.0131633337587118
     169.824365246174	   0.0131607307121158
     173.780082874937	   0.0131580680608749
     177.827941003892	    0.013155342079699
     181.970085860998	   0.0131525536999106
     186.208713666287	    0.013149700127542
     190.546071796324	    0.013146779499948
     194.984459975804	   0.0131437908858061
     199.526231496888	   0.0131407333537936
     204.173794466953	   0.0131376041099429
     208.929613085404	   0.0131344022229314
     213.796208950223	   0.0131311258301139
     218.776162394955	   0.0131277721375227
     223.872113856834	   0.0131243411451578
     229.086765276777	   0.0131208300590515
     234.422881531992	   0.0131172370165586
     239.883291901949	   0.0131135610863566
     245.470891568503	   0.0131104942411184
     251.188643150958	    0.013106700964272
     257.039578276886	    0.013102819211781
     263.026799189538	   0.0130988471210003
     269.153480392691	   0.0130947818979621
     275.422870333816	   0.0130906226113439
     281.838293126445	   0.0130863664671779
      288.40315031266	   0.0130820106714964
     295.120922666638	   0.0130775533616543
     301.995172040201	   0.0130729926750064
     309.029543251358	    0.013068325817585
     316.227766016837	   0.0130635499954224
     323.593656929628	   0.0130586624145508
      331.13112148259	   0.0130536612123251
     338.844156139202	   0.0130485435947776
     346.736850452531	   0.0130433067679405
     354.813389233575	   0.0130379479378462
     363.078054770101	   0.0130324643105268
     371.535229097172	   0.0130268530920148
      380.18939632056	   0.0130216907709837
      389.04514499428	   0.0130164083093405
     398.107170553496	   0.0130099691450596
     407.380277804112	   0.0130033800378442
     416.869383470335	   0.0129977175965905
     426.579518801592	   0.0129913855344057
     436.515832240165	   0.0129849063232541
     446.683592150962	   0.0129782762378454
     457.088189614874	   0.0129714915528893
     467.735141287197	   0.0129645485430956
     478.630092322637	   0.0129574434831738
     489.778819368445	   0.0129501735791564
     501.187233627271	   0.0129427341744304
     512.861383991364	   0.0129351206123829
     524.807460249771	   0.0129273300990462
     537.031796370251	   0.0129193579778075
     549.540873857623	   0.0129117304459214
     562.341325190348	   0.0129039259627461
     575.439937337155	   0.0128950756043196
     588.843655355587	   0.0128864729776978
     602.559586074356	   0.0128776701167226
     616.595001861481	   0.0128686614334583
     630.957344480192	   0.0128594432026148
     645.654229034654	   0.0128500098362565
     660.693448007594	   0.0128403566777706
      676.08297539198	   0.0128304781392217
     691.830970918935	   0.0128207514062524
     707.945784384136	   0.0128107974305749
     724.435960074988	   0.0128000816330314
     741.310241300916	   0.0127891171723604
     758.577575029182	   0.0127785094082356
      776.24711662869	   0.0127676539123058
     794.328234724279	   0.0127559965476394
     812.830516164097	   0.0127443764358759
     831.763771102669	   0.0127324853092432
     851.138038202374	   0.0127203166484833
     870.963589956078	   0.0127078639343381
     891.250938133743	   0.0126951215788722
     912.010839355907	   0.0126824416220188
     933.254300796988	   0.0126694655045867
     954.992586021433	   0.0126557853072882
     977.237220955808	   0.0126420333981514
     999.999999999997	   0.0126279601827264
     1023.29299228075	   0.0126135600730777
      1047.1285480509	   0.0125990165397525
      1071.5193052376	   0.0125841349363327
     1096.47819614318	   0.0125689059495926
     1122.01845430196	   0.0124608222395182
     1148.15362149688	   0.0122869880869985
     1174.89755493953	   0.0120904417708516
     1202.26443461741	   0.0118861943483353
     1230.26877081238	   0.0116762463003397
     1258.92541179416	   0.0114634539932013
     1288.24955169313	   0.0112496875226498
      1318.2567385564	   0.0110360765829682
     1348.96288259165	    0.010823399759829
     1380.38426460288	   0.0106122214347124
     1412.53754462275	   0.0104029588401318
     1445.43977074592	    0.010195929557085
      1479.1083881682	  0.00999137479811907
      1513.5612484362	  0.00978947896510363
     1548.81661891248	  0.00959038641303778
     1584.89319246111	  0.00939420517534018
     1621.81009735892	  0.00920101907104254
     1659.58690743755	  0.00901088770478964
     1698.24365246174	  0.00882385671138763
     1737.80082874937	  0.00863995496183634
     1778.27941003892	  0.00845920108258724
     1819.70085860998	  0.00828160066157579
     1862.08713666286	  0.00810715556144714
     1905.46071796324	  0.00793585646897554
     1949.84459975804	  0.00776769034564495
     1995.26231496887	  0.00760263903066516
     2041.73794466952	  0.00744067970663309
     2089.29613085403	  0.00728178583085537
     2137.96208950222	  0.00712592853233218
     2187.76162394954	   0.0069730756804347
     2238.72113856833	  0.00682319235056639
     2290.86765276776	   0.0066762431524694
     2344.22881531991	  0.00653219036757946
     2398.83291901948	  0.00639099534600973
     2454.70891568502	  0.00625261757522821
     2511.88643150957	  0.00611701654270291
     2570.39578276885	  0.00598415080457926
     2630.26799189537	  0.00585397845134139
      2691.5348039269	  0.00572645710781217
     2754.22870333815	  0.00560154346749187
     2818.38293126444	  0.00547919515520334
     2884.03150312659	  0.00535936933010817
     2951.20922666637	  0.00524202268570662
       3019.951720402	  0.00512711238116026
     3090.29543251358	  0.00501459604129195
     3162.27766016836	  0.00490443082526326
     3235.93656929627	  0.00479657435789704
