#f (hz)	V/V	dB
15.2527097932	1	-2.04E-11
15.2878797232	1	-2.07E-11
15.3231307486	1	-2.10E-11
15.3584630563	1	-2.13E-11
15.3938768338	1	-2.16E-11
15.4293722689	1	-2.19E-11
15.46494955	1	-2.22E-11
15.5006088657	1	-2.25E-11
15.5363504051	1	-2.28E-11
15.572174358	1	-2.31E-11
15.6080809142	1	-2.34E-11
15.6440702644	1	-2.38E-11
15.6801425993	1	-2.41E-11
15.7162981104	1	-2.44E-11
15.7525369894	1	-2.48E-11
15.7888594286	1	-2.51E-11
15.8252656205	1	-2.54E-11
15.8617557585	1	-2.58E-11
15.8983300359	1	-2.62E-11
15.9349886469	1	-2.65E-11
15.9717317859	1	-2.69E-11
16.0085596477	1	-2.73E-11
16.0454724278	1	-2.76E-11
16.082470322	1	-2.80E-11
16.1195535264	1	-2.84E-11
16.1567222379	1	-2.88E-11
16.1939766535	1	-2.92E-11
16.231316971	1	-2.96E-11
16.2687433883	1	-3.00E-11
16.306256104	1	-3.05E-11
16.3438553171	1	-3.09E-11
16.3815412271	1	-3.13E-11
16.4193140338	1	-3.17E-11
16.4571739376	1	-3.22E-11
16.4951211393	1	-3.26E-11
16.5331558403	1	-3.31E-11
16.5712782423	1	-3.35E-11
16.6094885474	1	-3.40E-11
16.6477869585	1	-3.45E-11
16.6861736787	1	-3.50E-11
16.7246489115	1	-3.55E-11
16.7632128611	1	-3.59E-11
16.801865732	1	-3.64E-11
16.8406077294	1	-3.70E-11
16.8794390586	1	-3.75E-11
16.9183599256	1	-3.80E-11
16.957370537	1	-3.85E-11
16.9964710997	1	-3.91E-11
17.035661821	1	-3.96E-11
17.0749429089	1	-4.02E-11
17.1143145718	1	-4.07E-11
17.1537770184	1	-4.13E-11
17.1933304581	1	-4.18E-11
17.2329751007	1	-4.24E-11
17.2727111566	1	-4.30E-11
17.3125388364	1	-4.36E-11
17.3524583515	1	-4.42E-11
17.3924699137	1	-4.48E-11
17.4325737351	1	-4.55E-11
17.4727700285	1	-4.61E-11
17.5130590072	1	-4.67E-11
17.5534408847	1	-4.74E-11
17.5939158755	1	-4.81E-11
17.634484194	1	-4.87E-11
17.6751460557	1	-4.94E-11
17.715901676	1	-5.01E-11
17.7567512713	1	-5.08E-11
17.7976950582	1	-5.15E-11
17.8387332539	1	-5.22E-11
17.8798660761	1	-5.29E-11
17.921093743	1	-5.37E-11
17.9624164733	1	-5.44E-11
18.0038344862	1	-5.52E-11
18.0453480013	1	-5.59E-11
18.0869572389	1	-5.67E-11
18.1286624198	1	-5.75E-11
18.1704637651	1	-5.83E-11
18.2123614965	1	-5.91E-11
18.2543558364	1	-5.99E-11
18.2964470075	1	-6.08E-11
18.338635233	1	-6.16E-11
18.3809207368	1	-6.25E-11
18.4233037431	1	-6.33E-11
18.4657844769	1	-6.42E-11
18.5083631633	1	-6.51E-11
18.5510400283	1	-6.60E-11
18.5938152983	1	-6.69E-11
18.6366892002	1	-6.79E-11
18.6796619613	1	-6.88E-11
18.7227338097	1	-6.98E-11
18.7659049739	1	-7.08E-11
18.8091756827	1	-7.17E-11
18.8525461658	1	-7.27E-11
18.8960166532	1	-7.37E-11
18.9395873756	1	-7.48E-11
18.983258564	1	-7.58E-11
19.02703045	1	-7.69E-11
19.070903266	1	-7.79E-11
19.1148772445	1	-7.90E-11
19.1589526189	1	-8.01E-11
19.203129623	1	-8.12E-11
19.2474084911	1	-8.24E-11
19.2917894581	1	-8.35E-11
19.3362727593	1	-8.47E-11
19.3808586309	1	-8.58E-11
19.4255473092	1	-8.70E-11
19.4703390314	1	-8.83E-11
19.515234035	1	-8.95E-11
19.5602325582	1	-9.07E-11
19.6053348396	1	-9.20E-11
19.6505411186	1	-9.33E-11
19.6958516349	1	-9.46E-11
19.7412666289	1	-9.59E-11
19.7867863415	1	-9.72E-11
19.8324110141	1	-9.86E-11
19.8781408888	1	-9.99E-11
19.9239762081	1	-1.01E-10
19.9699172152	1	-1.03E-10
20.0159641538	1	-1.04E-10
20.0621172681	1	-1.06E-10
20.108376803	1	-1.07E-10
20.1547430037	1	-1.09E-10
20.2012161164	1	-1.10E-10
20.2477963875	1	-1.12E-10
20.2944840641	1	-1.13E-10
20.3412793939	1	-1.15E-10
20.388182625	1	-1.16E-10
20.4351940063	1	-1.18E-10
20.4823137871	1	-1.20E-10
20.5295422175	1	-1.21E-10
20.5768795479	1	-1.23E-10
20.6243260295	1	-1.25E-10
20.6718819138	1	-1.26E-10
20.7195474533	1	-1.28E-10
20.7673229006	1	-1.30E-10
20.8152085093	1	-1.32E-10
20.8632045334	1	-1.34E-10
20.9113112275	1	-1.35E-10
20.9595288467	1	-1.37E-10
21.0078576468	1	-1.39E-10
21.0562978842	1	-1.41E-10
21.1048498158	1	-1.43E-10
21.1535136992	1	-1.45E-10
21.2022897925	1	-1.47E-10
21.2511783545	1	-1.49E-10
21.3001796445	1	-1.51E-10
21.3492939224	1	-1.53E-10
21.3985214487	1	-1.56E-10
21.4478624846	1	-1.58E-10
21.4973172919	1	-1.60E-10
21.5468861327	1	-1.62E-10
21.5965692702	1	-1.64E-10
21.6463669678	1	-1.67E-10
21.6962794897	1	-1.69E-10
21.7463071006	1	-1.71E-10
21.796450066	1	-1.74E-10
21.8467086517	1	-1.76E-10
21.8970831245	1	-1.79E-10
21.9475737515	1	-1.81E-10
21.9981808006	1	-1.84E-10
22.0489045402	1	-1.86E-10
22.0997452393	1	-1.89E-10
22.1507031677	1	-1.91E-10
22.2017785957	1	-1.94E-10
22.2529717941	1	-1.97E-10
22.3042830346	1	-1.99E-10
22.3557125894	1	-2.02E-10
22.4072607312	1	-2.05E-10
22.4589277335	1	-2.08E-10
22.5107138703	1	-2.11E-10
22.5626194164	1	-2.14E-10
22.6146446471	1	-2.17E-10
22.6667898384	1	-2.20E-10
22.7190552668	1	-2.23E-10
22.7714412097	1	-2.26E-10
22.8239479449	1	-2.29E-10
22.8765757509	1	-2.32E-10
22.9293249068	1	-2.35E-10
22.9821956926	1	-2.39E-10
23.0351883887	1	-2.42E-10
23.0883032761	1	-2.45E-10
23.1415406366	1	-2.49E-10
23.1949007527	1	-2.52E-10
23.2483839073	1	-2.56E-10
23.3019903842	1	-2.59E-10
23.3557204677	1	-2.63E-10
23.4095744429	1	-2.67E-10
23.4635525954	1	-2.70E-10
23.5176552115	1	-2.74E-10
23.5718825782	1	-2.78E-10
23.6262349833	1	-2.82E-10
23.6807127149	1	-2.86E-10
23.7353160621	1	-2.90E-10
23.7900453146	1	-2.94E-10
23.8449007626	1	-2.98E-10
23.8998826971	1	-3.02E-10
23.9549914098	1	-3.06E-10
24.010227193	1	-3.10E-10
24.0655903397	1	-3.15E-10
24.1210811436	1	-3.19E-10
24.176699899	1	-3.23E-10
24.232446901	1	-3.28E-10
24.2883224453	1	-3.33E-10
24.3443268283	1	-3.37E-10
24.400460347	1	-3.42E-10
24.4567232993	1	-3.47E-10
24.5131159835	1	-3.51E-10
24.5696386988	1	-3.56E-10
24.6262917451	1	-3.61E-10
24.6830754228	1	-3.66E-10
24.7399900332	1	-3.71E-10
24.7970358781	1	-3.77E-10
24.8542132603	1	-3.82E-10
24.9115224829	1	-3.87E-10
24.96896385	1	-3.93E-10
25.0265376662	1	-3.98E-10
25.0842442371	1	-4.04E-10
25.1420838686	1	-4.09E-10
25.2000568676	1	-4.15E-10
25.2581635417	1	-4.21E-10
25.316404199	1	-4.26E-10
25.3747791485	1	-4.32E-10
25.4332886999	0.9999999999	-4.38E-10
25.4919331634	0.9999999999	-4.45E-10
25.5507128503	0.9999999999	-4.51E-10
25.6096280722	0.9999999999	-4.57E-10
25.6686791418	0.9999999999	-4.63E-10
25.7278663722	0.9999999999	-4.70E-10
25.7871900774	0.9999999999	-4.76E-10
25.8466505722	0.9999999999	-4.83E-10
25.9062481718	0.9999999999	-4.90E-10
25.9659831925	0.9999999999	-4.96E-10
26.0258559511	0.9999999999	-5.03E-10
26.0858667652	0.9999999999	-5.10E-10
26.1460159532	0.9999999999	-5.18E-10
26.2063038341	0.9999999999	-5.25E-10
26.2667307277	0.9999999999	-5.32E-10
26.3272969546	0.9999999999	-5.39E-10
26.3880028359	0.9999999999	-5.47E-10
26.4488486939	0.9999999999	-5.55E-10
26.5098348511	0.9999999999	-5.62E-10
26.5709616311	0.9999999999	-5.70E-10
26.6322293582	0.9999999999	-5.78E-10
26.6936383574	0.9999999999	-5.86E-10
26.7551889543	0.9999999999	-5.94E-10
26.8168814756	0.9999999999	-6.02E-10
26.8787162484	0.9999999999	-6.11E-10
26.9406936007	0.9999999999	-6.19E-10
27.0028138614	0.9999999999	-6.28E-10
27.0650773599	0.9999999999	-6.37E-10
27.1274844266	0.9999999999	-6.46E-10
27.1900353924	0.9999999999	-6.55E-10
27.2527305892	0.9999999999	-6.64E-10
27.3155703495	0.9999999999	-6.73E-10
27.3785550067	0.9999999999	-6.82E-10
27.4416848949	0.9999999999	-6.92E-10
27.5049603489	0.9999999999	-7.01E-10
27.5683817044	0.9999999999	-7.11E-10
27.6319492979	0.9999999999	-7.21E-10
27.6956634664	0.9999999999	-7.31E-10
27.7595245481	0.9999999999	-7.41E-10
27.8235328816	0.9999999999	-7.52E-10
27.8876888065	0.9999999999	-7.62E-10
27.9519926632	0.9999999999	-7.73E-10
28.0164447926	0.9999999999	-7.83E-10
28.0810455367	0.9999999999	-7.94E-10
28.1457952382	0.9999999999	-8.05E-10
28.2106942406	0.9999999999	-8.17E-10
28.275742888	0.9999999999	-8.28E-10
28.3409415257	0.9999999999	-8.39E-10
28.4062904993	0.9999999999	-8.51E-10
28.4717901556	0.9999999999	-8.63E-10
28.537440842	0.9999999999	-8.75E-10
28.6032429067	0.9999999999	-8.87E-10
28.6691966988	0.9999999999	-8.99E-10
28.7353025682	0.9999999999	-9.12E-10
28.8015608655	0.9999999999	-9.25E-10
28.8679719422	0.9999999999	-9.38E-10
28.9345361506	0.9999999999	-9.51E-10
29.0012538438	0.9999999999	-9.64E-10
29.0681253756	0.9999999999	-9.77E-10
29.1351511008	0.9999999999	-9.91E-10
29.2023313749	0.9999999999	-1.00E-09
29.2696665543	0.9999999999	-1.02E-09
29.3371569962	0.9999999999	-1.03E-09
29.4048030586	0.9999999999	-1.05E-09
29.4726051004	0.9999999999	-1.06E-09
29.540563481	0.9999999999	-1.08E-09
29.6086785612	0.9999999999	-1.09E-09
29.6769507022	0.9999999999	-1.11E-09
29.745380266	0.9999999999	-1.12E-09
29.8139676159	0.9999999999	-1.14E-09
29.8827131154	0.9999999999	-1.15E-09
29.9516171294	0.9999999999	-1.17E-09
30.0206800233	0.9999999999	-1.19E-09
30.0899021635	0.9999999999	-1.20E-09
30.1592839172	0.9999999999	-1.22E-09
30.2288256523	0.9999999999	-1.24E-09
30.2985277378	0.9999999999	-1.25E-09
30.3683905435	0.9999999999	-1.27E-09
30.4384144399	0.9999999999	-1.29E-09
30.5085997984	0.9999999998	-1.31E-09
30.5789469914	0.9999999998	-1.32E-09
30.6494563921	0.9999999998	-1.34E-09
30.7201283744	0.9999999998	-1.36E-09
30.7909633132	0.9999999998	-1.38E-09
30.8619615843	0.9999999998	-1.40E-09
30.9331235643	0.9999999998	-1.42E-09
31.0044496306	0.9999999998	-1.44E-09
31.0759401617	0.9999999998	-1.46E-09
31.1475955368	0.9999999998	-1.48E-09
31.2194161359	0.9999999998	-1.50E-09
31.29140234	0.9999999998	-1.52E-09
31.363554531	0.9999999998	-1.54E-09
31.4358730916	0.9999999998	-1.56E-09
31.5083584055	0.9999999998	-1.59E-09
31.5810108571	0.9999999998	-1.61E-09
31.6538308318	0.9999999998	-1.63E-09
31.7268187159	0.9999999998	-1.65E-09
31.7999748966	0.9999999998	-1.68E-09
31.873299762	0.9999999998	-1.70E-09
31.9467937009	0.9999999998	-1.72E-09
32.0204571033	0.9999999998	-1.75E-09
32.0942903598	0.9999999998	-1.77E-09
32.1682938622	0.9999999998	-1.79E-09
32.242468003	0.9999999998	-1.82E-09
32.3168131757	0.9999999998	-1.85E-09
32.3913297746	0.9999999998	-1.87E-09
32.466018195	0.9999999998	-1.90E-09
32.5408788331	0.9999999998	-1.92E-09
32.615912086	0.9999999998	-1.95E-09
32.6911183517	0.9999999998	-1.98E-09
32.7664980291	0.9999999998	-2.00E-09
32.8420515182	0.9999999998	-2.03E-09
32.9177792197	0.9999999998	-2.06E-09
32.9936815352	0.9999999998	-2.09E-09
33.0697588674	0.9999999998	-2.12E-09
33.1460116199	0.9999999998	-2.15E-09
33.2224401972	0.9999999997	-2.18E-09
33.2990450047	0.9999999997	-2.21E-09
33.3758264486	0.9999999997	-2.24E-09
33.4527849364	0.9999999997	-2.27E-09
33.5299208763	0.9999999997	-2.30E-09
33.6072346773	0.9999999997	-2.33E-09
33.6847267497	0.9999999997	-2.37E-09
33.7623975045	0.9999999997	-2.40E-09
33.8402473537	0.9999999997	-2.43E-09
33.9182767103	0.9999999997	-2.47E-09
33.9964859882	0.9999999997	-2.50E-09
34.0748756021	0.9999999997	-2.54E-09
34.1534459681	0.9999999997	-2.57E-09
34.2321975028	0.9999999997	-2.61E-09
34.311130624	0.9999999997	-2.64E-09
34.3902457503	0.9999999997	-2.68E-09
34.4695433016	0.9999999997	-2.72E-09
34.5490236983	0.9999999997	-2.75E-09
34.6286873621	0.9999999997	-2.79E-09
