                 Time	                V(VO)	                V(VI)
                    0	                    0	                    0
               2e-014	                    0	    0.100000001490116
               4e-014	1.05563699715143e-030	    0.200000002980232
8.00007138523506e-014	6.33401043816289e-030	    0.400003582239151
1.60002141557052e-013	6.75642706027778e-029	    0.800010681152344
3.20004996966454e-013	9.62801268148345e-028	     1.60002493858337
6.40010707785259e-013	 1.4965717507517e-026	     3.20005345344543
            1.02e-012	8.74594986327772e-026	                    5
1.08400114216376e-012	1.10834229952405e-025	                    5
 1.2120125214383e-012	1.66301283521694e-025	                    5
1.46803527998738e-012	3.39901182094202e-025	                    5
1.98008079708554e-012	1.04156510063758e-024	                    5
3.00417183128186e-012	4.69315756165688e-024	                    5
5.05235389967449e-012	2.76326647056321e-023	                    5
9.14871803645976e-012	1.89203087946172e-022	                    5
1.73414463100303e-011	1.40027844240394e-021	                    5
3.37269028571714e-011	1.07755178576342e-020	                    5
6.64978159514535e-011	8.45491483258111e-020	                    5
1.32039642140018e-010	  6.698753135723e-019	                    5
2.63123294517146e-010	5.33313160774019e-018	                    5
5.25290599271404e-010	4.25619365267607e-017	                    5
1.04962520877992e-009	3.40083251866569e-016	                    5
2.09829442779695e-009	2.71900921848772e-015	                    5
4.19563286583101e-009	2.17453008724555e-014	                    5
8.39030974189912e-009	1.73932916680553e-013	                    5
1.67796634940354e-008	1.39130709991137e-012	                    5
3.35583709983078e-008	1.11292182067291e-011	                    5
6.71157860068527e-008	8.90189796876051e-011	                    5
1.34230616023943e-007	7.11935788100249e-010	                    5
2.68460276058122e-007	5.69211211498555e-009	                    5
5.23711206844255e-007	4.20573726955809e-008	                    5
7.72286417415544e-007	1.30991267610625e-007	                    5
1.26943683855812e-006	5.81028359647462e-007	                    5
1.90181827776711e-006	1.93277560356364e-006	                    5
3.06339359514992e-006	8.07485321274726e-006	                    5
 4.6657571815757e-006	2.82311957562342e-005	                    5
7.43103122942726e-006	 0.000113127469376195	                    5
1.14585886024741e-005	 0.000407266867114231	                    5
1.82052621864585e-005	  0.00159266847185791	                    5
